source_root_id,target_root_id,predicted_score,rank,source_super_class,target_super_class,source_primary_type,target_primary_type,source_nt_type,target_nt_type,source_flow,target_flow,source_coord_x,source_coord_y,source_coord_z,target_coord_x,target_coord_y,target_coord_z
720575940611292622,720575940614140522,1.0,2,central,central,CL029b,CB1301,GLUT,ACH,intrinsic,intrinsic,700000.0,170176.0,77440.0,676672.0,237792.0,39360.0
720575940639417728,720575940611123954,1.0,3,central,visual_projection,AVLP053,LC11,ACH,ACH,intrinsic,intrinsic,704060.0,192584.0,71080.0,672636.0,213448.0,210200.0
720575940639428174,720575940620842111,1.0,1,descending,central,DNp23,PS013,ACH,ACH,efferent,intrinsic,604604.0,171364.0,120520.0,425504.0,148652.0,72120.0
720575940625011600,720575940627281594,1.0,1,central,central,AVLP316,VES079,ACH,ACH,intrinsic,intrinsic,339948.0,241016.0,113800.0,440364.0,236492.0,83480.0
720575940627438076,720575940614671411,1.0,3,central,optic,AVLP201,Li23,GABA,GABA,intrinsic,intrinsic,634916.0,248368.0,119480.0,648864.0,274880.0,167240.0
720575940632964423,720575940637899197,1.0,1,central,central,AVLP572,AOTU046,ACH,GLUT,intrinsic,intrinsic,411392.0,204524.0,128960.0,463396.0,172652.0,207280.0
720575940639417728,720575940625019696,1.0,1,central,visual_projection,AVLP053,LCe06,ACH,ACH,intrinsic,intrinsic,704060.0,192584.0,71080.0,696216.0,201504.0,156040.0
720575940611292622,720575940618364480,1.0,1,central,central,CL029b,pC1e,GLUT,ACH,intrinsic,intrinsic,700000.0,170176.0,77440.0,570964.0,179920.0,196320.0
720575940624023188,720575940616262261,1.0,1,central,central,CB0824,CB1444,ACH,,intrinsic,intrinsic,402048.0,312448.0,123040.0,525056.0,112800.0,123600.0
720575940611665358,720575940614737704,1.0,1,optic,optic,Tm2,Pm04,ACH,GABA,intrinsic,intrinsic,310012.0,183872.0,170360.0,285508.0,223800.0,216840.0
720575940627438076,720575940614165201,1.0,2,central,descending,AVLP201,DNge028,GABA,ACH,intrinsic,efferent,634916.0,248368.0,119480.0,613236.0,350584.0,90880.0
720575940627438076,720575940630535030,1.0,1,central,central,AVLP201,AVLP574,GABA,ACH,intrinsic,intrinsic,634916.0,248368.0,119480.0,662688.0,210112.0,201840.0
720575940639417728,720575940633094113,1.0,2,central,central,AVLP053,SMP179,ACH,ACH,intrinsic,intrinsic,704060.0,192584.0,71080.0,703908.0,136152.0,173000.0
720575940630839371,720575940627728149,1.0,2,descending,central,DNge146,CB0073,GABA,ACH,efferent,intrinsic,394472.0,309084.0,139200.0,423268.0,326224.0,125200.0
720575940630839371,720575940604009952,1.0,1,descending,central,DNge146,PS061,GABA,ACH,efferent,intrinsic,394472.0,309084.0,139200.0,404416.0,297920.0,156720.0
720575940620326253,720575940621818203,1.0,1,central,visual_projection,AOTU063a,LT63,GLUT,ACH,intrinsic,intrinsic,646624.0,112160.0,162000.0,689476.0,208940.0,160760.0
720575940627341736,720575940633614253,1.0,3,visual_projection,visual_projection,LPT21,LT72,ACH,ACH,intrinsic,intrinsic,670272.0,212000.0,199640.0,645408.0,220736.0,214160.0
720575940627341736,720575940627683588,1.0,2,visual_projection,central,LPT21,CL339,ACH,ACH,intrinsic,intrinsic,670272.0,212000.0,199640.0,471624.0,183148.0,186800.0
720575940627341736,720575940659098241,1.0,1,visual_projection,central,LPT21,CB3646,ACH,ACH,intrinsic,intrinsic,670272.0,212000.0,199640.0,401684.0,248660.0,54440.0
720575940615863638,720575940610739918,1.0,1,central,visual_projection,CB1185,LT82,ACH,ACH,intrinsic,intrinsic,335596.0,185704.0,123360.0,352476.0,230832.0,181840.0
